Date,SP500,HANGSENG,KOSPI
2011-04-28,1360.47998046875,23805.630859375,2208.35009765625
2011-04-29,1363.6099853515625,23720.810546875,2192.360107421875
2011-05-03,1356.6199951171875,23633.25,2200.72998046875
2011-05-04,1347.3199462890625,23315.240234375,2180.639892578125
2011-05-06,1340.199951171875,23159.140625,2147.449951171875
2011-05-09,1346.2900390625,23336.0,2139.169921875
2011-05-11,1342.0799560546875,23291.80078125,2166.6298828125
2011-05-12,1348.6500244140625,23073.759765625,2122.64990234375
2011-05-13,1337.77001953125,23276.26953125,2120.080078125
2011-05-16,1329.469970703125,22960.630859375,2104.179931640625
2011-05-17,1328.97998046875,22901.080078125,2102.409912109375
2011-05-18,1340.6800537109375,23011.140625,2135.780029296875
2011-05-19,1343.5999755859375,23163.380859375,2095.510009765625
2011-05-20,1333.27001953125,23199.390625,2111.5
2011-05-23,1317.3699951171875,22711.01953125,2055.7099609375
2011-05-24,1316.280029296875,22730.779296875,2061.760009765625
2011-05-25,1320.469970703125,22747.279296875,2035.8699951171875
2011-05-26,1325.68994140625,22900.7890625,2091.909912109375
2011-05-27,1331.0999755859375,23118.0703125,2100.239990234375
2011-05-31,1345.199951171875,23684.130859375,2142.469970703125
2011-06-01,1314.550048828125,23626.4296875,2141.340087890625
2011-06-02,1312.93994140625,23253.83984375,2114.199951171875
2011-06-03,1300.1600341796875,22949.560546875,2113.469970703125
2011-06-07,1284.93994140625,22868.669921875,2099.7099609375
2011-06-08,1279.56005859375,22661.630859375,2083.35009765625
2011-06-09,1289.0,22609.830078125,2071.419921875
2011-06-10,1270.97998046875,22420.369140625,2046.6700439453125
2011-06-13,1271.8299560546875,22508.080078125,2048.739990234375
2011-06-14,1287.8699951171875,22496.0,2076.830078125
2011-06-15,1265.4200439453125,22343.76953125,2086.530029296875
2011-06-16,1267.6400146484375,21953.109375,2046.6300048828125
2011-06-17,1271.5,21695.259765625,2031.9300537109375
2011-06-20,1278.3599853515625,21599.509765625,2019.6500244140625
2011-06-21,1295.52001953125,21850.58984375,2048.169921875
2011-06-22,1287.1400146484375,21859.970703125,2063.89990234375
2011-06-23,1283.5,21759.140625,2055.860107421875
2011-06-24,1268.449951171875,22171.94921875,2090.81005859375
2011-06-27,1280.0999755859375,22041.76953125,2070.2900390625
2011-06-28,1296.6700439453125,22061.779296875,2062.909912109375
2011-06-29,1307.4100341796875,22061.1796875,2094.419921875
2011-06-30,1320.6400146484375,22398.099609375,2100.68994140625
2011-07-05,1337.8800048828125,22747.94921875,2161.75
2011-07-06,1339.219970703125,22517.55078125,2171.18994140625
2011-07-07,1353.219970703125,22530.1796875,2180.590087890625
2011-07-08,1343.800048828125,22726.4296875,2180.35009765625
2011-07-11,1319.489990234375,22347.23046875,2157.159912109375
2011-07-12,1313.6400146484375,21663.16015625,2109.72998046875
2011-07-13,1317.719970703125,21926.880859375,2129.639892578125
2011-07-14,1308.8699951171875,21940.19921875,2130.070068359375
2011-07-15,1316.1400146484375,21875.380859375,2145.199951171875
2011-07-18,1305.43994140625,21804.75,2130.47998046875
2011-07-19,1326.72998046875,21902.400390625,2130.2099609375
2011-07-20,1325.8399658203125,22003.689453125,2154.949951171875
2011-07-21,1343.800048828125,21987.2890625,2145.0400390625
2011-07-22,1345.02001953125,22444.80078125,2171.22998046875
2011-07-25,1337.4300537109375,22293.2890625,2150.47998046875
2011-07-26,1331.93994140625,22572.080078125,2168.699951171875
2011-07-27,1304.8900146484375,22541.689453125,2174.31005859375
2011-07-28,1300.6700439453125,22570.740234375,2155.85009765625
2011-07-29,1292.280029296875,22440.25,2133.2099609375
2011-08-01,1286.93994140625,22663.369140625,2172.31005859375
2011-08-02,1254.050048828125,22421.4609375,2121.27001953125
2011-08-03,1260.3399658203125,21992.720703125,2066.260009765625
2011-08-04,1200.0699462890625,21884.740234375,2018.469970703125
2011-08-05,1199.3800048828125,20946.140625,1943.75
2011-08-08,1119.4599609375,20490.5703125,1869.449951171875
2011-08-09,1172.530029296875,19330.69921875,1801.3499755859375
2011-08-10,1120.760009765625,19783.669921875,1806.239990234375
2011-08-11,1172.6400146484375,19595.140625,1817.43994140625
2011-08-12,1178.81005859375,19620.009765625,1793.31005859375
2011-08-16,1192.760009765625,20212.080078125,1879.8699951171875
2011-08-17,1193.8900146484375,20289.029296875,1892.6700439453125
2011-08-18,1140.6500244140625,20016.26953125,1860.5799560546875
2011-08-19,1123.530029296875,19399.919921875,1744.8800048828125
2011-08-22,1123.8199462890625,19486.869140625,1710.699951171875
2011-08-23,1162.3499755859375,19875.529296875,1776.6800537109375
2011-08-24,1177.5999755859375,19466.7890625,1754.780029296875
